,%,cm,iso8601,m,mm,Â°C
cloudcover,"[2, 7, 12, 66, 3, 29, 11, 5, 100, 100, 100, 93, 100, 100, 91, 7, 0, 10, 3, 0, 100, 83, 86, 100, 100, 97, 100, 93, 53, 2, 100, 100, 89, 8, 100, 100, 100, 60, 37, 97, 100, 100, 100, 100, 100, 100, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 6, 6, 71, 100, 100, 100, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 11, 12, 92, 100, 89, 46, 7, 7, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 37, 49, 61, 73, 76, 78, 81, 66, 50, 35, 23, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 54, 81, 55, 28]",,,,,
cloudcover_high,"[2, 7, 12, 66, 3, 29, 11, 5, 68, 10, 6, 93, 90, 49, 0, 0, 0, 10, 3, 0, 1, 0, 0, 100, 57, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 0, 0, 0, 0, 97, 100, 100, 100, 100, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 33, 46, 58, 71, 74, 76, 79, 64, 50, 35, 23, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
cloudcover_low,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
cloudcover_mid,"[0, 0, 0, 0, 0, 0, 0, 4, 100, 100, 100, 84, 100, 100, 91, 7, 0, 6, 2, 0, 100, 83, 86, 100, 100, 97, 100, 93, 53, 2, 29, 100, 89, 8, 100, 100, 100, 60, 37, 97, 100, 100, 86, 88, 100, 100, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 5, 70, 100, 100, 100, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 5, 91, 100, 88, 44, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 4, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 53, 80, 54, 28]",,,,,
precipitation_probability,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 13, 11, 8, 6, 4, 2, 0, 0, 0, 0, 1, 2, 3, 5, 8, 10, 16, 23, 29, 44, 59, 74, 77, 81, 84, 57, 30, 3, 2, 1, 0, 0, 0, 0, 1, 2, 3, 11, 18, 26, 30, 35, 39, 36, 32, 29, 20, 12, 3, 2, 1, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 0, 3, 7, 10, 8, 5, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
rain,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.8, 2.5, 1.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
snowfall,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
temperature_2m,,,,,,"[11.6, 11.5, 11.2, 11.6, 10.9, 10.5, 10.4, 10.8, 11.2, 11.9, 13.2, 14.7, 15.6, 15.1, 17.0, 17.6, 17.8, 17.7, 16.6, 14.4, 12.5, 11.9, 12.3, 11.3, 11.4, 11.7, 11.8, 12.0, 11.3, 11.0, 11.1, 11.3, 11.5, 14.5, 14.7, 15.8, 16.1, 16.6, 16.0, 12.0, 13.7, 12.0, 11.8, 11.0, 10.2, 10.3, 9.6, 9.6, 9.6, 8.8, 8.6, 8.3, 8.2, 8.1, 8.4, 8.5, 11.7, 14.7, 16.1, 17.2, 18.1, 16.7, 17.4, 17.1, 19.1, 16.6, 15.4, 13.4, 11.2, 9.6, 8.4, 7.3, 6.5, 5.6, 4.9, 4.3, 3.8, 3.5, 3.4, 3.8, 7.6, 10.8, 12.9, 14.4, 15.7, 16.9, 17.7, 18.5, 18.7, 18.3, 17.0, 12.8, 10.0, 8.8, 8.4, 8.1, 7.5, 7.4, 7.4, 7.1, 6.7, 6.2, 6.0, 6.3, 10.2, 13.3, 15.1, 16.5, 17.6, 18.6, 19.4, 20.1, 20.2, 20.0, 18.8, 13.8, 11.1, 10.4, 9.9, 9.3, 8.7, 8.3, 7.9, 7.5, 6.9, 6.3, 6.6, 8.7, 11.6, 14.2, 16.0, 17.4, 18.5, 19.5, 20.3, 20.7, 20.8, 20.5, 19.4, 16.9, 13.5, 10.9, 10.0, 9.9, 9.7, 9.2, 8.7, 8.3, 7.8, 7.3, 7.7, 9.8, 12.9, 15.6, 17.6, 19.3, 20.5, 21.2, 21.5, 21.4, 21.2, 20.6, 19.3, 16.9, 13.9, 11.5, 10.6, 10.4]"
time,,,"['2023-09-02T00:00', '2023-09-02T01:00', '2023-09-02T02:00', '2023-09-02T03:00', '2023-09-02T04:00', '2023-09-02T05:00', '2023-09-02T06:00', '2023-09-02T07:00', '2023-09-02T08:00', '2023-09-02T09:00', '2023-09-02T10:00', '2023-09-02T11:00', '2023-09-02T12:00', '2023-09-02T13:00', '2023-09-02T14:00', '2023-09-02T15:00', '2023-09-02T16:00', '2023-09-02T17:00', '2023-09-02T18:00', '2023-09-02T19:00', '2023-09-02T20:00', '2023-09-02T21:00', '2023-09-02T22:00', '2023-09-02T23:00', '2023-09-03T00:00', '2023-09-03T01:00', '2023-09-03T02:00', '2023-09-03T03:00', '2023-09-03T04:00', '2023-09-03T05:00', '2023-09-03T06:00', '2023-09-03T07:00', '2023-09-03T08:00', '2023-09-03T09:00', '2023-09-03T10:00', '2023-09-03T11:00', '2023-09-03T12:00', '2023-09-03T13:00', '2023-09-03T14:00', '2023-09-03T15:00', '2023-09-03T16:00', '2023-09-03T17:00', '2023-09-03T18:00', '2023-09-03T19:00', '2023-09-03T20:00', '2023-09-03T21:00', '2023-09-03T22:00', '2023-09-03T23:00', '2023-09-04T00:00', '2023-09-04T01:00', '2023-09-04T02:00', '2023-09-04T03:00', '2023-09-04T04:00', '2023-09-04T05:00', '2023-09-04T06:00', '2023-09-04T07:00', '2023-09-04T08:00', '2023-09-04T09:00', '2023-09-04T10:00', '2023-09-04T11:00', '2023-09-04T12:00', '2023-09-04T13:00', '2023-09-04T14:00', '2023-09-04T15:00', '2023-09-04T16:00', '2023-09-04T17:00', '2023-09-04T18:00', '2023-09-04T19:00', '2023-09-04T20:00', '2023-09-04T21:00', '2023-09-04T22:00', '2023-09-04T23:00', '2023-09-05T00:00', '2023-09-05T01:00', '2023-09-05T02:00', '2023-09-05T03:00', '2023-09-05T04:00', '2023-09-05T05:00', '2023-09-05T06:00', '2023-09-05T07:00', '2023-09-05T08:00', '2023-09-05T09:00', '2023-09-05T10:00', '2023-09-05T11:00', '2023-09-05T12:00', '2023-09-05T13:00', '2023-09-05T14:00', '2023-09-05T15:00', '2023-09-05T16:00', '2023-09-05T17:00', '2023-09-05T18:00', '2023-09-05T19:00', '2023-09-05T20:00', '2023-09-05T21:00', '2023-09-05T22:00', '2023-09-05T23:00', '2023-09-06T00:00', '2023-09-06T01:00', '2023-09-06T02:00', '2023-09-06T03:00', '2023-09-06T04:00', '2023-09-06T05:00', '2023-09-06T06:00', '2023-09-06T07:00', '2023-09-06T08:00', '2023-09-06T09:00', '2023-09-06T10:00', '2023-09-06T11:00', '2023-09-06T12:00', '2023-09-06T13:00', '2023-09-06T14:00', '2023-09-06T15:00', '2023-09-06T16:00', '2023-09-06T17:00', '2023-09-06T18:00', '2023-09-06T19:00', '2023-09-06T20:00', '2023-09-06T21:00', '2023-09-06T22:00', '2023-09-06T23:00', '2023-09-07T00:00', '2023-09-07T01:00', '2023-09-07T02:00', '2023-09-07T03:00', '2023-09-07T04:00', '2023-09-07T05:00', '2023-09-07T06:00', '2023-09-07T07:00', '2023-09-07T08:00', '2023-09-07T09:00', '2023-09-07T10:00', '2023-09-07T11:00', '2023-09-07T12:00', '2023-09-07T13:00', '2023-09-07T14:00', '2023-09-07T15:00', '2023-09-07T16:00', '2023-09-07T17:00', '2023-09-07T18:00', '2023-09-07T19:00', '2023-09-07T20:00', '2023-09-07T21:00', '2023-09-07T22:00', '2023-09-07T23:00', '2023-09-08T00:00', '2023-09-08T01:00', '2023-09-08T02:00', '2023-09-08T03:00', '2023-09-08T04:00', '2023-09-08T05:00', '2023-09-08T06:00', '2023-09-08T07:00', '2023-09-08T08:00', '2023-09-08T09:00', '2023-09-08T10:00', '2023-09-08T11:00', '2023-09-08T12:00', '2023-09-08T13:00', '2023-09-08T14:00', '2023-09-08T15:00', '2023-09-08T16:00', '2023-09-08T17:00', '2023-09-08T18:00', '2023-09-08T19:00', '2023-09-08T20:00', '2023-09-08T21:00', '2023-09-08T22:00', '2023-09-08T23:00']",,,
visibility,,,,"[35000.0, 40400.0, 39100.0, 44400.0, 38400.0, 38400.0, 39200.0, 48900.0, 45900.0, 42300.0, 38000.0, 37200.0, 37200.0, 40000.0, 47800.0, 48100.0, 47700.0, 43900.0, 40000.0, 42500.0, 33600.0, 31600.0, 35300.0, 28700.0, 30100.0, 33100.0, 33200.0, 35800.0, 32400.0, 31900.0, 32700.0, 32600.0, 30700.0, 30600.0, 30600.0, 30300.0, 31700.0, 34100.0, 27500.0, 2200.0, 7400.0, 8500.0, 26100.0, 22700.0, 25400.0, 25500.0, 25100.0, 28200.0, 30100.0, 25800.0, 24500.0, 23600.0, 23800.0, 23900.0, 27300.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0, 24140.0]",,
